,device_id,device_name
0,i386,iPhone Simulator
1,x86_64,iPhone Simulator
2,arm64,iPhone Simulator
3,"iPhone1,1",iPhone
4,"iPhone1,2",iPhone 3G
5,"iPhone2,1",iPhone 3GS
6,"iPhone3,1",iPhone 4
7,"iPhone3,2",iPhone 4 GSM Rev A
8,"iPhone3,3",iPhone 4 CDMA
9,"iPhone4,1",iPhone 4S
10,"iPhone5,1",iPhone 5 (GSM)
11,"iPhone5,2",iPhone 5 (GSM+CDMA)
12,"iPhone5,3",iPhone 5C (GSM)
13,"iPhone5,4",iPhone 5C (Global)
14,"iPhone6,1",iPhone 5S (GSM)
15,"iPhone6,2",iPhone 5S (Global)
16,"iPhone7,1",iPhone 6 Plus
17,"iPhone7,2",iPhone 6
18,"iPhone8,1",iPhone 6s
19,"iPhone8,2",iPhone 6s Plus
20,"iPhone8,4",iPhone SE (GSM)
21,"iPhone9,1",iPhone 7
22,"iPhone9,2",iPhone 7 Plus
23,"iPhone9,3",iPhone 7
24,"iPhone9,4",iPhone 7 Plus
25,"iPhone10,1",iPhone 8
26,"iPhone10,2",iPhone 8 Plus
27,"iPhone10,3",iPhone X Global
28,"iPhone10,4",iPhone 8
29,"iPhone10,5",iPhone 8 Plus
30,"iPhone10,6",iPhone X GSM
31,"iPhone11,2",iPhone XS
32,"iPhone11,4",iPhone XS Max
33,"iPhone11,6",iPhone XS Max Global
34,"iPhone11,8",iPhone XR
35,"iPhone12,1",iPhone 11
36,"iPhone12,3",iPhone 11 Pro
37,"iPhone12,5",iPhone 11 Pro Max
38,"iPhone12,8",iPhone SE 2nd Gen
39,"iPhone13,1",iPhone 12 Mini
40,"iPhone13,2",iPhone 12
41,"iPhone13,3",iPhone 12 Pro
42,"iPhone13,4",iPhone 12 Pro Max
43,"iPhone14,2",iPhone 13 Pro
44,"iPhone14,3",iPhone 13 Pro Max
45,"iPhone14,4",iPhone 13 Mini
46,"iPhone14,5",iPhone 13
47,"iPhone14,6",iPhone SE 3rd Gen
48,,
49,"iPod1,1",1st Gen iPod
50,"iPod2,1",2nd Gen iPod
51,"iPod3,1",3rd Gen iPod
52,"iPod4,1",4th Gen iPod
53,"iPod5,1",5th Gen iPod
54,"iPod7,1",6th Gen iPod
55,"iPod9,1",7th Gen iPod
56,,
57,"iPad1,1",iPad
58,"iPad1,2",iPad 3G
59,"iPad2,1",2nd Gen iPad
60,"iPad2,2",2nd Gen iPad GSM
61,"iPad2,3",2nd Gen iPad CDMA
62,"iPad2,4",2nd Gen iPad New Revision
63,"iPad3,1",3rd Gen iPad
64,"iPad3,2",3rd Gen iPad CDMA
65,"iPad3,3",3rd Gen iPad GSM
66,"iPad2,5",iPad mini
67,"iPad2,6",iPad mini GSM+LTE
68,"iPad2,7",iPad mini CDMA+LTE
69,"iPad3,4",4th Gen iPad
70,"iPad3,5",4th Gen iPad GSM+LTE
71,"iPad3,6",4th Gen iPad CDMA+LTE
72,"iPad4,1",iPad Air (WiFi)
73,"iPad4,2",iPad Air (GSM+CDMA)
74,"iPad4,3",1st Gen iPad Air (China)
75,"iPad4,4",iPad mini Retina (WiFi)
76,"iPad4,5",iPad mini Retina (GSM+CDMA)
77,"iPad4,6",iPad mini Retina (China)
78,"iPad4,7",iPad mini 3 (WiFi)
79,"iPad4,8",iPad mini 3 (GSM+CDMA)
80,"iPad4,9",iPad Mini 3 (China)
81,"iPad5,1",iPad mini 4 (WiFi)
82,"iPad5,2",4th Gen iPad mini (WiFi+Cellular)
83,"iPad5,3",iPad Air 2 (WiFi)
84,"iPad5,4",iPad Air 2 (Cellular)
85,"iPad6,3","iPad Pro (9.7 inch, WiFi)"
86,"iPad6,4","iPad Pro (9.7 inch, WiFi+LTE)"
87,"iPad6,7","iPad Pro (12.9 inch, WiFi)"
88,"iPad6,8","iPad Pro (12.9 inch, WiFi+LTE)"
89,"iPad6,11",iPad (2017)
90,"iPad6,12",iPad (2017)
91,"iPad7,1",iPad Pro 2nd Gen (WiFi)
92,"iPad7,2",iPad Pro 2nd Gen (WiFi+Cellular)
93,"iPad7,3",iPad Pro 10.5-inch 2nd Gen
94,"iPad7,4",iPad Pro 10.5-inch 2nd Gen
95,"iPad7,5",iPad 6th Gen (WiFi)
96,"iPad7,6",iPad 6th Gen (WiFi+Cellular)
97,"iPad7,11",iPad 7th Gen 10.2-inch (WiFi)
98,"iPad7,12",iPad 7th Gen 10.2-inch (WiFi+Cellular)
99,"iPad8,1",iPad Pro 11 inch 3rd Gen (WiFi)
100,"iPad8,2","iPad Pro 11 inch 3rd Gen (1TB, WiFi)"
101,"iPad8,3",iPad Pro 11 inch 3rd Gen (WiFi+Cellular)
102,"iPad8,4","iPad Pro 11 inch 3rd Gen (1TB, WiFi+Cellular)"
103,"iPad8,5",iPad Pro 12.9 inch 3rd Gen (WiFi)
104,"iPad8,6","iPad Pro 12.9 inch 3rd Gen (1TB, WiFi)"
105,"iPad8,7",iPad Pro 12.9 inch 3rd Gen (WiFi+Cellular)
106,"iPad8,8","iPad Pro 12.9 inch 3rd Gen (1TB, WiFi+Cellular)"
107,"iPad8,9",iPad Pro 11 inch 4th Gen (WiFi)
108,"iPad8,10",iPad Pro 11 inch 4th Gen (WiFi+Cellular)
109,"iPad8,11",iPad Pro 12.9 inch 4th Gen (WiFi)
110,"iPad8,12",iPad Pro 12.9 inch 4th Gen (WiFi+Cellular)
111,"iPad11,1",iPad mini 5th Gen (WiFi)
112,"iPad11,2",iPad mini 5th Gen
113,"iPad11,3",iPad Air 3rd Gen (WiFi)
114,"iPad11,4",iPad Air 3rd Gen
115,"iPad11,6",iPad 8th Gen (WiFi)
116,"iPad11,7",iPad 8th Gen (WiFi+Cellular)
117,"iPad12,1",iPad 9th Gen (WiFi)
118,"iPad12,2",iPad 9th Gen (WiFi+Cellular)
119,"iPad14,1",iPad mini 6th Gen (WiFi)
120,"iPad14,2",iPad mini 6th Gen (WiFi+Cellular)
121,"iPad13,1",iPad Air 4th Gen (WiFi)
122,"iPad13,2",iPad Air 4th Gen (WiFi+Cellular)
123,"iPad13,4",iPad Pro 11 inch 5th Gen
124,"iPad13,5",iPad Pro 11 inch 5th Gen
125,"iPad13,6",iPad Pro 11 inch 5th Gen
126,"iPad13,7",iPad Pro 11 inch 5th Gen
127,"iPad13,8",iPad Pro 12.9 inch 5th Gen
128,"iPad13,9",iPad Pro 12.9 inch 5th Gen
129,"iPad13,10",iPad Pro 12.9 inch 5th Gen
130,"iPad13,11",iPad Pro 12.9 inch 5th Gen
131,"iPad13,16",iPad Air 5th Gen (WiFi)
132,"iPad13,17",iPad Air 5th Gen (WiFi+Cellular)
133,,
134,"Watch1,1",Apple Watch 38mm case
135,"Watch1,2",Apple Watch 42mm case
136,"Watch2,6",Apple Watch Series 1 38mm case
137,"Watch2,7",Apple Watch Series 1 42mm case
138,"Watch2,3",Apple Watch Series 2 38mm case
139,"Watch2,4",Apple Watch Series 2 42mm case
140,"Watch3,1",Apple Watch Series 3 38mm case (GPS+Cellular)
141,"Watch3,2",Apple Watch Series 3 42mm case (GPS+Cellular)
142,"Watch3,3",Apple Watch Series 3 38mm case (GPS)
143,"Watch3,4",Apple Watch Series 3 42mm case (GPS)
144,"Watch4,1",Apple Watch Series 4 40mm case (GPS)
145,"Watch4,2",Apple Watch Series 4 44mm case (GPS)
146,"Watch4,3",Apple Watch Series 4 40mm case (GPS+Cellular)
147,"Watch4,4",Apple Watch Series 4 44mm case (GPS+Cellular)
148,"Watch5,1",Apple Watch Series 5 40mm case (GPS)
149,"Watch5,2",Apple Watch Series 5 44mm case (GPS)
150,"Watch5,3",Apple Watch Series 5 40mm case (GPS+Cellular)
151,"Watch5,4",Apple Watch Series 5 44mm case (GPS+Cellular)
152,"Watch5,9",Apple Watch SE 40mm case (GPS)
153,"Watch5,10",Apple Watch SE 44mm case (GPS)
154,"Watch5,11",Apple Watch SE 40mm case (GPS+Cellular)
155,"Watch5,12",Apple Watch SE 44mm case (GPS+Cellular)
156,"Watch6,1",Apple Watch Series 6 40mm case (GPS)
157,"Watch6,2",Apple Watch Series 6 44mm case (GPS)
158,"Watch6,3",Apple Watch Series 6 40mm case (GPS+Cellular)
159,"Watch6,4",Apple Watch Series 6 44mm case (GPS+Cellular)
160,"Watch6,6",Apple Watch Series 7 41mm case (GPS)
161,"Watch6,7",Apple Watch Series 7 45mm case (GPS)
162,"Watch6,8",Apple Watch Series 7 41mm case (GPS+Cellular)
163,"Watch6,9",Apple Watch Series 7 45mm case (GPS+Cellular)
